x,y
1,6318.11
2,1091.92
3,1552.53
4,575.16
5,217.73
6,934.48
7,588.23
8,233.25
9,171.04
10,837.86
11,342.63
12,212.64
13,778.55
14,117.6
15,1003.31
16,320.94
17,112.59
18,970.09
19,610.38
20,274.14
21,689.05
22,1180.65
23,1249.23
24,1295.33
25,192.3
26,1033.93
27,926.18
28,357.19
29,1111.42
30,923.04
31,1394.05
32,438.85
33,1401.79
34,168.92
35,295.17
36,816.04
37,1073.79
38,55.69
39,98.9
40,1070.92
41,995
42,949.06
43,1296
44,73.53
45,975.16
46,1300.23
47,820.93
48,58.1
49,162.01
50,1177.78
51,95.84
52,449.05
53,570.96
54,405.51
55,441.74
56,986.17
57,650.75
58,248.78
59,38.15
60,239.56
61,855.03
62,52.6
63,108.38
64,793.59
65,1079.87
66,663.86
67,502.69
68,740.04
69,1314.41
70,363.43
71,236.94
72,983.31
73,917.21
74,94.35
75,446.68
76,51.93
77,388.56
78,1145.19
79,138.81
80,525.15
81,322.18
82,1030.21
83,118.8
84,257.72
85,1070.3
86,122.27
87,260.78
88,706.63
89,92.02
90,705.59
91,456.5
92,459.44
93,656.11
94,214.43
95,148.28
96,733.97
97,895.34
98,1495.78
99,72.84
100,89.57
