x,y,,,,,,
262,30.51,,,,,,
263,283.25,,,,,,
264,89.47,,,,,,
265,96.31,,,,,,
266,124.37,,,,,,
267,693.35,,,,,,
268,87.98,,,,,,
269,1398.04,,,,,,
270,1224.97,,,,,,
271,169.72,,,,,,
272,453.09,,,,,,
273,1152.67,,,,,,
274,761.63,,,,,,
275,541.14,,,,,,
276,248.74,,,,,,
277,392.94,,,,,,
278,619.11,,,,,,
279,1358.63,,,,,,
280,29.45,,,,,,
281,88.85,,,,,,
282,1399.56,,,,,,
283,1276.08,,,,,,
284,1345.45,,,,,,
285,257.32,,,,,,
286,714.46,,,,,,
287,329.66,,,,,,
288,406.14,,,,,,
289,147.73,,,,,,
290,802.5,,,,,,
291,22.17,,,,,,
292,41.27,,,,,,
293,395.53,,,,,,
294,397.58,,,,,,
295,767.9,,,,,,
296,1388,,,,,,
297,58.33,,,,,,
298,373.55,,,,,,
299,1414.76,,,,,,
300,807.82,,,,,,
301,776.45,,,,,,
302,703.3,,,,,,
303,1378.12,,,,,,
304,701.49,,,,,,
305,597.12,,,,,,
306,385.6,,,,,,
307,1108.72,,,,,,
308,192.51,,,,,,
309,140.06,,,,,,
310,882.1,,,,,,
311,45.79,,,,,,
312,819.7,,,,,,
313,369.67,,,,,,
314,96.58,,,,,,
315,879.13,,,,,,
316,1074.91,,,,,,
317,807.13,,,,,,
318,1394.27,,,,,,
319,734.47,,,,,,
320,896.08,,,,,,
321,1046.05,,,,,,
322,695.98,,,,,,
323,222.95,,,,,,
324,349.45,,,,,,
325,813.85,,,,,,
326,53.9,,,,,,
327,433.13,,,,,,
328,38.82,,,,,,
329,135.3,,,,,,
330,330.81,,,,,,
331,126.28,,,,,,
332,1235.59,,,,,,
333,1000.26,,,,,,
334,452.43,,,,,,
335,114.1,,,,,,
336,1098.78,,,,,,
337,1238.67,,,,,,
338,120.63,,,,,,
339,960.3,,,,,,
340,908.56,,,,,,
341,719.09,,,,,,
342,93.68,,,,,,
343,975,,,,,,
344,1374.43,,,,,,
345,536.04,,,,,,
346,373.19,,,,,,
347,1154.63,,,,,,
348,239.52,,,,,,
349,53.84,,,,,,
350,555.68,,,,,,
351,1227.81,,,,,,
352,554.39,,,,,,
353,211.4,,,,,,
354,1158.89,,,,,,
355,1294.52,,,,,,
356,59.75,,,,,,
357,846.4,,,,,,
358,1257.73,,,,,,
359,1331.46,,,,,,
360,113.01,,,,,,
361,1112.47,,,,,,
362,436.37,,,,,,
363,1063.95,,,,,,
364,305.79,,,,,,
365,35.13,,,,,,
366,247.38,,,,,,
367,60.08,,,,,,
368,721.76,,,,,,
369,1144.01,,,,,,
370,42.49,,,,,,
371,60.64,,,,,,
372,26.41,,,,,,
373,645.87,,,,,,
374,266.56,,,,,,
375,763.47,,,,,,
376,1163.85,,,,,,
377,1195.27,,,,,,
378,761.48,,,,,,
379,129.52,,,,,,
380,480.01,,,,,,
381,38.99,,,,,,
382,1343.53,,,,,,
383,136.49,,,,,,
384,762.82,,,,,,
385,88.74,,,,,,
386,1238.98,,,,,,
387,912.89,,,,,,
388,642.54,,,,,,
389,120.35,,,,,,
390,1184.94,,,,,,
391,399.18,,,,,,
392,1132.46,,,,,,
393,531.83,,,,,,
394,1154.24,,,,,,
395,794.19,,,,,,
396,37.34,,,,,,
397,557.26,,,,,,
398,158.38,,,,,,
399,359.55,,,,,,
400,689.47,,,,,,
401,1235.37,,,,,,
402,1357.14,,,,,,
403,175.61,,,,,,
404,90.77,,,,,,
405,141.61,,,,,,
406,41.8,,,,,,
407,184.88,,,,,,
408,377.23,,,,,,
409,18.66,,,,,,
410,646.22,,,,,,
411,480.1,,,,,,
412,148.38,,,,,,
413,117.36,,,,,,
414,1310.44,,,,,,
415,192.56,,,,,,
416,128.51,,,,,,
417,520.72,,,,,,
