x,y
434,5478.23
435,499.93
436,1351.69
437,664.23
438,162.81
439,857.61
440,529.19
441,136.91
442,1156.81
443,1198.16
444,152.63
445,242.13
446,315.16
447,668.17
448,109.07
449,104.95
450,113.82
451,845.88
452,297.63
453,425.15
454,1179.97
455,323.85
456,809.98
457,983.67
458,641.69
459,707.22
460,85.32
461,795.28
462,91.96
463,79.72
464,115.18
465,1400.3
466,1293.51
467,177.06
468,433.37
469,836.85
470,473.66
471,136.46
472,107.5
473,215.7
474,401.49
475,130.88
476,742
477,154.12
478,577.17
479,484.36
480,1400.48
481,230.48
482,228.99
483,99.87
484,300.1
485,896.55
486,60.36
487,1274.21
488,958.44
489,713.45
490,466.62
491,113.75
492,571.81
493,572.61
494,697.2
495,749.77
496,74.93
497,557.19
498,919.62
499,726.4
500,157.85
501,92.06
502,795.58
503,330.79
504,1108.38
505,710.32
506,1203.29
507,245.8
508,708.76
509,791.72
510,1017.7
511,208.67
512,613.57
513,549.87
514,142.6
515,56.48
516,1125.22
517,111.01
518,139.9
519,345.13
520,663.83
521,71.86
522,573.63
523,372.24
524,1059.05
525,71.73
526,922.25
527,85.7
528,57.55
529,822.92
530,76.09
531,603.05
532,1077.23
533,198.46
