y
3337.74
3157.30
2618.22
2026.15
3218.94
3297.36
1991.79
2020.03
4326.19
3339.59
3094.24
2451.81
2146.06
3326.81
2719.08
3135.63
3317.09
3240.38
3416.16
3336.91
2656.77
2746.70
3287.14
2148.67
3134.81
3317.33
3391.93
2710.99
2661.80
3203.78
2410.24
3262.46
3197.59
3522.88
3070.56
3264.93
3257.55
2637.89
3184.25
2604.50
1907.07
3178.78
2047.08
3007.78
3370.53
2185.88
2656.82
2730.79
3433.78
2238.05
2434.96
2800.89
2433.36
2648.97
3292.50
3262.59
3303.56
3363.17
3236.51
3127.61
2603.23
3213.63
3346.10
2413.23
3370.67
3110.91
3268.35
2184.46
3411.19
2919.52
2749.60
2751.49
2847.05
3007.72
3038.59
3165.45
2859.93
3377.54
3365.46
2007.79
3409.67
3309.96
3362.62
3211.98
2402.90
2410.67
2895.69
2133.62
3146.01
2538.26
3324.18
2814.56
2716.39
2887.42
3396.06
2360.49
3399.93
3326.33
3312.31
3341.80
3239.26
2452.17
2296.22
3284.96
2406.92
3135.45
3289.86
2270.76
3194.64
2933.56
2775.30
1906.36
3042.15
2833.76
3181.21
2011.97
2216.07
2005.72
1965.33
3265.23
2490.77
2801.37
3058.11
3171.28
3235.37
3290.35
2563.86
3091.74
2569.55
3355.95
2734.14
3203.99
2217.40
3225.84
3180.95
2649.11
3324.84
2221.10
3131.92
2708.94
2227.38
2143.57
1992.07
2408.45
3374.61
2785.93
3234.10
2303.73
3233.81
2179.22
3317.46
3345.55
1973.56
1991.00
2033.45
3382.00
2695.55
2440.42
2992.35
2260.61
3360.81
3202.17
3269.73
2788.30
3009.90
2757.41
3300.12
3213.09
2565.74
3295.05
3351.69
2704.00
2520.42
1979.03
2062.65
3348.27
3279.04
2804.33
1961.75
2343.64
2268.32
3356.64
3319.83
3072.51
2914.05
3335.95
2331.46
2167.10
2960.11
3230.60
3240.15
3347.24
3467.66
3306.67
2922.70
3146.90
3380.69
3092.74
2737.78
3218.44
3391.52
3370.06
2147.82
3222.49
1942.14
3222.08
3022.47
3274.39
2910.59
3341.74
1996.89
2562.37
3229.74
2095.54
3229.97
2448.15
3355.36
3273.32
3013.11
1986.81
2670.51
3220.78
2022.04
3343.91
3321.71
1956.82
3119.18
3387.17
2685.69
2758.88
3244.37
2751.26
1926.26
3122.51
3201.28
2326.51
2159.31
2190.19
3302.46
2126.61
3009.83
3222.67
3246.58
2063.25
3362.40
3267.52
3101.85
2633.17
3054.40
3409.06
3398.84
3146.12
2247.76
2674.98
3308.02
3208.62
2118.69
3336.36
3351.51
