x,y,,,,,,
246,7418.61,,,,,,
247,3204.55,,,,,,
248,7546.94,,,,,,
249,6127.88,,,,,,
250,3840.38,,,,,,
251,1446.3,,,,,,
252,4461.37,,,,,,
253,2272.51,,,,,,
254,3657.97,,,,,,
255,2617.28,,,,,,
256,6435.87,,,,,,
257,2210.71,,,,,,
258,4748.41,,,,,,
259,5739.1,,,,,,
260,3489.76,,,,,,
261,7307.83,,,,,,
262,3554.72,,,,,,
263,6215.62,,,,,,
264,2788.46,,,,,,
265,5796.11,,,,,,
266,2629.56,,,,,,
267,3538.16,,,,,,
268,2073.7,,,,,,
269,3362.47,,,,,,
270,6413.85,,,,,,
271,6853.69,,,,,,
272,5610.73,,,,,,
273,3928.26,,,,,,
274,3632.48,,,,,,
275,5376.1,,,,,,
276,2628.33,,,,,,
277,5934.57,,,,,,
278,4098.87,,,,,,
279,4779.45,,,,,,
280,3295.24,,,,,,
281,8273.39,,,,,,
282,3621.58,,,,,,
283,2302.67,,,,,,
284,3029.38,,,,,,
285,2659.63,,,,,,
286,5541.16,,,,,,
287,3443.38,,,,,,
288,6607.14,,,,,,
289,4341.92,,,,,,
290,4237.26,,,,,,
291,7593.48,,,,,,
292,4400.24,,,,,,
293,3171.03,,,,,,
294,3968.68,,,,,,
295,4289.09,,,,,,
296,5935.14,,,,,,
297,5052.64,,,,,,
298,1905.45,,,,,,
299,6320.01,,,,,,
300,5861.3,,,,,,
301,6368.96,,,,,,
302,3714.06,,,,,,
303,4553.12,,,,,,
304,2671.25,,,,,,
305,4497.01,,,,,,
306,3115.35,,,,,,
307,1892.63,,,,,,
308,4960.27,,,,,,
309,4037.33,,,,,,
310,3109.54,,,,,,
311,3813.74,,,,,,
312,2372.31,,,,,,
313,2853.26,,,,,,
314,4484.12,,,,,,
315,1470.93,,,,,,
316,6437.81,,,,,,
317,2950.84,,,,,,
318,2288.82,,,,,,
319,3293.63,,,,,,
320,3125.18,,,,,,
321,2095.47,,,,,,
322,3672.8,,,,,,
323,2594.77,,,,,,
324,2499.84,,,,,,
325,1753.54,,,,,,
326,3132.62,,,,,,
327,4010.66,,,,,,
328,2335.1,,,,,,
329,1954.51,,,,,,
330,3036.97,,,,,,
331,2134.38,,,,,,
332,2876.39,,,,,,
333,4495.12,,,,,,
334,4580.77,,,,,,
335,4123.07,,,,,,
336,2362.21,,,,,,
337,7187.21,,,,,,
338,5066.44,,,,,,
339,2873.9,,,,,,
340,4217.56,,,,,,
341,4820.71,,,,,,
342,4738.39,,,,,,
343,4196,,,,,,
344,7595.72,,,,,,
345,4955.69,,,,,,
346,6419.08,,,,,,
347,4877.44,,,,,,
348,4121.19,,,,,,
349,5893.29,,,,,,
350,1498.14,,,,,,
351,2992.92,,,,,,
352,3140.32,,,,,,
353,3336.66,,,,,,
354,2534.8,,,,,,
355,5173.53,,,,,,
356,7598.7,,,,,,
357,3013.8,,,,,,
358,4917.89,,,,,,
359,4185.14,,,,,,
360,6048.9,,,,,,
361,5553.93,,,,,,
362,6115.22,,,,,,
363,3318.19,,,,,,
364,5575.31,,,,,,
365,2203.22,,,,,,
366,1540.56,,,,,,
367,4945.55,,,,,,
368,2583.47,,,,,,
369,1935.11,,,,,,
370,5854.15,,,,,,
371,1932.3,,,,,,
372,3655.28,,,,,,
373,7274.55,,,,,,
374,6136.31,,,,,,
375,4886.41,,,,,,
376,2973.74,,,,,,
377,2502.39,,,,,,
378,5445.71,,,,,,
379,4373.31,,,,,,
380,5702.41,,,,,,
