x,y
434,13268.34
435,4295.93
436,5634.44
437,8779.51
438,8649.34
439,6330.04
440,4618.59
441,8664.21
442,4517.24
443,5004.27
444,4500.13
445,6657.16
446,8191.11
447,8435.74
448,6157.04
449,7453.91
450,4634.28
451,8694.92
452,4848.52
453,7107.53
454,6458.76
455,8619.39
456,8564.23
457,4279.84
458,5413.52
459,8588.32
460,4718.27
461,4707.66
462,8494.7
463,6516.86
464,7956.98
465,8395.26
466,6907.43
467,8625.26
468,3801.18
469,4497.15
470,8771.58
471,8386.92
472,8811.67
473,8798.87
474,5256.7
475,8542.07
476,8210.98
477,3959.61
478,8460.17
479,5184.14
480,6206.63
481,7809.72
482,7025.28
483,5671.54
484,6209.65
485,8255.57
486,6295.58
487,8278.72
488,8704.38
489,8817.68
490,6154.72
491,6134.32
492,8928.12
493,4144.51
494,4031.96
495,8503.11
496,8647.81
497,8613.43
498,8745.53
499,6258.02
500,7694.63
501,5550.83
502,7909.64
503,5307.24
504,8692.14
505,8644.41
506,8693.71
507,8708.39
508,7802.51
509,6272.88
510,8464.45
511,8576.96
512,8131.44
513,4460.38
514,4689.01
515,4709.9
516,8345.39
517,8516.32
518,5413.37
519,8825.35
520,7814.74
521,6428.85
522,8790.81
523,7778.02
524,8691.8
525,4496.01
526,4124.2
527,8462.27
528,7679.7
529,7564.4
530,7722.78
531,4250.96
532,4382.88
533,6775.81
