a,b
0.08440476700002364,0.0
0.09033285999976215,2.0E-4
0.09616308600004686,4.0E-4
0.09695378499986873,6.000000000000001E-4
0.0976179700001012,8.0E-4
0.09926653100001204,0.001
0.1036928009998519,0.0012000000000000001
0.10704404300031456,0.0014000000000000002
0.1090643170000476,0.0016000000000000003
0.10959551200005535,0.0018000000000000004
0.11041875499995513,0.0020000000000000005
0.11226183399958245,0.0022000000000000006
0.11265935999995236,0.0024000000000000007
0.11331880899979296,0.0026000000000000007
0.11348060899990742,0.002800000000000001
0.11501324699997895,0.003000000000000001
0.1169121840000571,0.003200000000000001
0.11714387600022746,0.003400000000000001
0.11787690400001338,0.003600000000000001
0.11795488000007026,0.0038000000000000013
0.11813149499994324,0.004000000000000001
0.11902056199960498,0.004200000000000001
0.1192500689999747,0.0044
0.11978695800007699,0.0046
0.12014924900000779,0.0048
0.12020518899998933,0.004999999999999999
0.12060374500015314,0.005199999999999999
0.12120525700038343,0.0053999999999999986
0.12267821800014644,0.005599999999999998
0.12302868599999783,0.005799999999999998
0.12465493800027616,0.0059999999999999975
0.12503812400063907,0.006199999999999997
0.12531424600001628,0.006399999999999997
0.1260021590001088,0.0065999999999999965
0.12600906399984524,0.006799999999999996
0.1270443930006877,0.006999999999999996
0.12810069700003623,0.0071999999999999955
0.12904446699985783,0.007399999999999995
0.13112351400013722,0.007599999999999995
0.13158939500044653,0.0077999999999999944
0.131882325000106,0.007999999999999995
0.13239061599961133,0.008199999999999995
0.1325323990004108,0.008399999999999996
0.1328225359998214,0.008599999999999997
0.13357981299941457,0.008799999999999997
0.13438984100002926,0.008999999999999998
0.13497892100031095,0.009199999999999998
0.13523562699992908,0.009399999999999999
0.13608259899956465,0.0096
0.13698259000000235,0.0098
0.1372039110001424,0.01
0.13768982200008395,0.0102
0.13774743000021772,0.010400000000000001
0.13822318799998357,0.010600000000000002
0.13879256499990333,0.010800000000000002
0.1388260209996588,0.011000000000000003
0.13969582800018543,0.011200000000000003
0.13973422700019,0.011400000000000004
0.14041035299987925,0.011600000000000004
0.14095582499999892,0.011800000000000005
0.14104738300011377,0.012000000000000005
0.1413283470001261,0.012200000000000006
0.14154225400034193,0.012400000000000007
0.14219698000033532,0.012600000000000007
0.142635810999991,0.012800000000000008
0.14271515000018553,0.013000000000000008
0.14323377300001994,0.013200000000000009
0.14342995800006975,0.013400000000000009
0.14445226499992714,0.01360000000000001
0.14466943700000456,0.01380000000000001
0.1454506890004268,0.01400000000000001
0.14590446600004725,0.014200000000000011
0.1460133670000232,0.014400000000000012
0.14609509099955176,0.014600000000000012
0.14625770199972976,0.014800000000000013
0.14676605300064693,0.015000000000000013
0.14716688099997555,0.015200000000000014
0.1472548089996053,0.015400000000000014
0.14726500600045256,0.015600000000000015
0.14847991800002092,0.015800000000000015
0.1488367609999841,0.016000000000000014
0.1492573299999549,0.016200000000000013
0.1499196109998593,0.016400000000000012
0.1503435590002482,0.01660000000000001
0.15041369599930476,0.01680000000000001
0.1515288639998289,0.017000000000000008
0.15161385500005053,0.017200000000000007
0.15161501399961708,0.017400000000000006
0.1516675140001098,0.017600000000000005
0.1516994080002405,0.017800000000000003
0.15197093000006134,0.018000000000000002
0.15260930199929135,0.0182
0.152892361999875,0.0184
0.15289605100042536,0.0186
0.15305455499992604,0.018799999999999997
0.15324078000003283,0.018999999999999996
0.15324474899989582,0.019199999999999995
0.15411532300004183,0.019399999999999994
0.15498657699981777,0.019599999999999992
0.1549898889998076,0.01979999999999999
0.15511071999998194,0.01999999999999999
0.1551313999998456,0.02019999999999999
0.15540579599928606,0.020399999999999988
0.1557529190004061,0.020599999999999986
0.15633592399990448,0.020799999999999985
0.15725661800024682,0.020999999999999984
0.1573428930000773,0.021199999999999983
0.15794110499973613,0.02139999999999998
0.15794385600020178,0.02159999999999998
0.1582732990000295,0.02179999999999998
0.15893841399974917,0.021999999999999978
0.15961415499987197,0.022199999999999977
0.16005710699982956,0.022399999999999975
0.16031066000050487,0.022599999999999974
0.16055096999980378,0.022799999999999973
0.16144232299939176,0.022999999999999972
0.16155748999972275,0.02319999999999997
0.16185463099998287,0.02339999999999997
0.16232321500046965,0.023599999999999968
0.16249586300000374,0.023799999999999967
0.16267752299972926,0.023999999999999966
0.1628843809994578,0.024199999999999965
0.1628962730000012,0.024399999999999963
0.1633002270000361,0.024599999999999962
0.16342802300005133,0.02479999999999996
0.16403072599950974,0.02499999999999996
0.16421619999999848,0.02519999999999996
0.16440016299998206,0.025399999999999957
0.16441794599995774,0.025599999999999956
0.16451300699964122,0.025799999999999955
0.16499526500001593,0.025999999999999954
0.16533402699997168,0.026199999999999952
0.16567765899981168,0.02639999999999995
0.16678393199981656,0.02659999999999995
0.1683178109999517,0.02679999999999995
0.16872809100004815,0.026999999999999948
0.16874474999999478,0.027199999999999946
0.16976608699951612,0.027399999999999945
0.17173461299989867,0.027599999999999944
0.17204565399970306,0.027799999999999943
0.17207690999975966,0.02799999999999994
0.17211231199999588,0.02819999999999994
0.17231390300003113,0.02839999999999994
0.17282764800000194,0.028599999999999938
0.17290395700001682,0.028799999999999937
0.17334687299990037,0.028999999999999936
0.17340601000000788,0.029199999999999934
0.17347962699932395,0.029399999999999933
0.17351747599968803,0.029599999999999932
0.17376579200026754,0.02979999999999993
0.1738604750007653,0.02999999999999993
