x,y
434,9355.28
435,2832.53
436,6204.99
437,4070.87
438,3729.76
439,5741.08
440,4919.96
441,4592.42
442,7636.96
443,5297.95
444,6803.92
445,8003.18
446,4270.95
447,1788.25
448,3520.14
449,2075.52
450,5793.86
451,3690.9
452,4346.01
453,3896.56
454,3686.2
455,6786.4
456,3210.66
457,2896.03
458,3809.51
459,7624.81
460,2084.42
461,6370.9
462,4424.59
463,6567.35
464,2922.79
465,2345.86
466,2770.23
467,1728.09
468,3460.46
469,3949.1
470,3974.85
471,7831.17
472,1606.17
473,2774.07
474,2195.43
475,2779.73
476,2453.84
477,3035.71
478,8127.95
479,3076.8
480,7098.81
481,4244.01
482,3689.53
483,2832.08
484,1733.32
485,2770.03
486,2748.47
487,3295.07
488,5871.09
489,2781.66
490,5682.35
491,8022.59
492,3188.73
493,4994.46
494,5079.71
495,4538.06
496,4145.93
497,5930.59
498,7235.36
499,4808.69
500,2580.28
501,3293.49
502,8352.52
503,3943.54
504,3352.54
505,3625.41
506,4413.89
507,2918.1
508,2653.95
509,5273.79
510,6528.2
511,5998.5
512,3854.1
513,2913.53
514,7630.25
515,2387.63
516,2944.41
517,6507.01
518,3369.9
519,4258.76
520,2188.65
521,4862.15
522,3970.47
523,3971.34
524,3157.56
525,3705.72
526,6976.26
527,3527.98
528,7284.49
529,2533.96
530,3029.22
531,2976.85
532,4738.97
533,3537.27
