x,y
535,212.95
536,199.34
537,240.2
538,217.01
539,211.44
540,293.32
541,374.48
542,213.48
543,239.37
544,213.88
545,211.58
546,292.79
547,201.53
548,210.64
549,229.98
550,214.09
551,220.42
552,378.31
553,228.27
554,196.51
555,205.86
556,195.72
557,216.64
558,297.82
559,208.47
560,205.08
561,216.03
562,216.04
563,232.06
564,299.41
565,211.97
566,203.29
567,218.26
568,214.53
569,226.79
570,296.25
571,217.97
572,219.63
573,204.04
574,200.02
575,209.65
576,302.4
577,212.06
578,221.84
579,206.95
580,216.72
581,231.53
582,304.41
583,219.5
584,215.69
585,218.32
586,273.25
587,215.89
588,316.09
589,201.73
590,213.15
591,222.52
592,214.37
593,214.75
594,309.03
595,206.85
596,197.39
597,212.2
598,251.54
599,204.93
600,311.39
601,197.9
602,220.63
603,224.05
604,214.62
605,325.05
606,340.68
607,238.16
608,226.32
609,216.07
610,227.99
611,272.18
612,312.91
613,215.26
614,212.03
615,266.02
616,220.65
617,304.72
618,210.39
619,215.33
620,216.14
621,287.94
622,279.35
623,209.31
624,194.63
625,201.11
626,210.31
627,339.02
628,308.79
629,199.65
630,215.17
631,212.02
632,212.59
633,219.02
634,370.4
635,204.75
636,210.02
637,208.49
638,207.9
639,212.91
640,312.75
641,210.45
642,197.47
643,216.21
644,202.08
645,215.19
646,293.25
647,214.72
648,210.64
649,198.1
650,209.42
651,198.22
652,296.43
653,201.02
654,229.48
655,213
656,207.95
657,216.74
658,309.94
659,193.99
660,213
661,194.4
662,210.88
663,213.29
664,344.87
665,217.53
666,211.29
667,212.61
668,210.98
669,204.09
670,296.06
671,209.49
672,214.59
673,215.03
674,216.39
675,201.7
676,303.07
677,211.43
678,204.06
679,194.94
680,214.77
681,207.29
682,289.87
683,210.17
684,217.22
685,217.87
686,210.35
687,209.02
688,373.95
689,211.4
690,207.93
691,210.64
692,201
693,219.92
694,292.32
695,208.1
696,208.84
697,206.24
698,214.03
699,208.13
700,287.71
701,212.41
702,210.66
703,210.67
704,200.37
705,202.88
706,290.77
707,211.9
708,209.5
709,211.18
710,249.18
711,286.92
712,290.46
713,206.67
714,208.01
715,209.05
716,206.35
717,324.82
718,224.64
719,207.26
720,219.42
721,205.11
722,206.19
723,322.77
724,197.73
725,218.27
726,197.13
727,225.74
728,267.54
729,311.3
730,215.27
731,206.69
732,212.21
733,209.77
734,230.97
735,317.8
736,205.68
737,211.48
738,312.5
739,205.9
740,212.33
741,295.49
742,202.82
743,214.3
744,205.75
745,215.2
746,251.26
747,292.76
748,215.2
749,219.48
750,211.82
751,209.04
752,213.52
753,293.14
754,206.94
755,195.54
756,205.25
757,201.96
758,244.7
759,297.62
760,221.52
761,215.36
762,211.36
763,217.86
764,256.83
765,289.78
766,221.7
767,197.11
768,213.6
769,213.99
770,210.51
771,295.09
772,235.38
773,224.91
774,208.38
775,214.57
776,205.63
777,293.29
778,213.26
779,203.46
780,199.65
781,190
782,214.46
783,291.49
784,197.7
785,214.82
786,204.33
787,215.34
788,215.87
789,287.81
790,198.25
791,212.31
792,226.34
793,215.04
794,200.61
795,278.61
796,210.02
797,208.27
798,198.1
799,198.36
800,198.27
801,284.87
802,202.76
803,207.29
804,248.16
805,209.37
806,210.79
807,294.99
808,201.28
809,207.1
810,202.97
811,253.08
812,229.9
813,312.54
814,248.73
815,209.16
816,194.08
817,204.14
818,318.49
819,185.6
820,210.44
821,256.44
822,198.2
823,302.3
824,195.48
825,209.48
826,214.01
827,197.26
828,291.98
829,234.91
830,215.18
831,198.8
832,216.82
833,305.23
834,194.43
835,219.93
836,198.66
837,208.67
838,206.6
839,284.78
840,201.46
841,195.17
842,194.39
843,200.64
844,192.55
845,306.98
846,207.82
847,209.64
848,218.15
849,198.52
850,200.45
851,286.08
852,204.42
853,218.32
854,208.32
855,216.71
856,202.91
857,295.42
858,215.56
859,187.39
860,217.3
861,205.22
862,207.62
863,300.74
864,223.09
865,208.2
866,209.57
867,234.33
868,211.11
869,298.24
870,211.62
871,196.07
872,205.42
873,214.29
874,201.3
875,286.03
876,199.46
877,205.17
878,200.56
879,202.86
880,193.36
881,297.25
882,195.02
883,206.55
884,194.53
885,211.22
