x,y,,,,,,
246,5474.03,,,,,,
247,8865.24,,,,,,
248,9318.57,,,,,,
249,8774.62,,,,,,
250,4970.53,,,,,,
251,9533.99,,,,,,
252,9187.78,,,,,,
253,8026.71,,,,,,
254,7198,,,,,,
255,9591.59,,,,,,
256,8514,,,,,,
257,9514.33,,,,,,
258,9053.46,,,,,,
259,6830.61,,,,,,
260,9072.04,,,,,,
261,9307.72,,,,,,
262,9495.13,,,,,,
263,5773.92,,,,,,
264,6798.91,,,,,,
265,4275.26,,,,,,
266,9264.85,,,,,,
267,6634.76,,,,,,
268,7023.25,,,,,,
269,4101.65,,,,,,
270,7715.74,,,,,,
271,9598.29,,,,,,
272,7309.19,,,,,,
273,9280.4,,,,,,
274,9036.68,,,,,,
275,8922.25,,,,,,
276,9210.18,,,,,,
277,5442.17,,,,,,
278,6215.19,,,,,,
279,4272.9,,,,,,
280,9336.8,,,,,,
281,4178.11,,,,,,
282,9356.57,,,,,,
283,9727.6,,,,,,
284,4712.53,,,,,,
285,7858.5,,,,,,
286,9745.43,,,,,,
287,7361.1,,,,,,
288,7220.5,,,,,,
289,8960.76,,,,,,
290,8854.1,,,,,,
291,7629.45,,,,,,
292,6929.55,,,,,,
293,9562.4,,,,,,
294,6957.01,,,,,,
295,8027.9,,,,,,
296,7943.97,,,,,,
297,4828.8,,,,,,
298,4850.03,,,,,,
299,7295.32,,,,,,
300,5265.51,,,,,,
301,9136.35,,,,,,
302,4693.58,,,,,,
303,9377.21,,,,,,
304,8206.76,,,,,,
305,7459.75,,,,,,
306,8946.86,,,,,,
307,5965.14,,,,,,
308,5044.84,,,,,,
309,9432.06,,,,,,
310,9366.2,,,,,,
311,9366.66,,,,,,
312,9456.43,,,,,,
313,7944.41,,,,,,
314,5374.6,,,,,,
315,8329.29,,,,,,
316,4172.71,,,,,,
317,4260.78,,,,,,
318,7574.83,,,,,,
319,9079.11,,,,,,
320,4474.56,,,,,,
321,9238.67,,,,,,
322,4903.24,,,,,,
323,4930.59,,,,,,
324,9415.16,,,,,,
325,5199.61,,,,,,
326,5706.18,,,,,,
327,9285.24,,,,,,
328,6976.56,,,,,,
329,8660.88,,,,,,
330,9427.13,,,,,,
331,6641.64,,,,,,
332,9385.96,,,,,,
333,9565.6,,,,,,
334,9631.37,,,,,,
335,9376.25,,,,,,
336,5820.37,,,,,,
337,6873.94,,,,,,
338,9447.9,,,,,,
339,8991.57,,,,,,
340,9133.48,,,,,,
341,4536.65,,,,,,
342,9472.98,,,,,,
343,4675.88,,,,,,
344,6222.94,,,,,,
345,7800.19,,,,,,
346,9735.23,,,,,,
347,4780.75,,,,,,
348,9263.48,,,,,,
349,7100.7,,,,,,
350,5473.06,,,,,,
351,8858.39,,,,,,
352,9496.49,,,,,,
353,5590.14,,,,,,
354,6276.65,,,,,,
355,9059.63,,,,,,
356,6686.44,,,,,,
357,8203.87,,,,,,
358,9218.99,,,,,,
359,9263.86,,,,,,
360,7036.54,,,,,,
361,7691.96,,,,,,
362,7973.26,,,,,,
363,8416.81,,,,,,
364,9523.71,,,,,,
365,9502.11,,,,,,
366,6648.44,,,,,,
367,8491.33,,,,,,
368,9196.76,,,,,,
369,6117.82,,,,,,
370,4499.17,,,,,,
371,8831.9,,,,,,
372,9881.89,,,,,,
373,8777.07,,,,,,
374,5838.73,,,,,,
375,9430,,,,,,
376,5351.48,,,,,,
377,4100.41,,,,,,
378,8588.2,,,,,,
379,5635.32,,,,,,
380,7025.68,,,,,,
381,7431.83,,,,,,
382,7077.38,,,,,,
383,4573.54,,,,,,
384,9172.06,,,,,,
385,5306.49,,,,,,
386,9126.24,,,,,,
387,5255.64,,,,,,
388,9409.89,,,,,,
389,9011.39,,,,,,
390,6985.04,,,,,,
391,9854.43,,,,,,
392,8092.7,,,,,,
393,6752.95,,,,,,
394,6757.5,,,,,,
395,9127.74,,,,,,
396,4588.52,,,,,,
397,4801.12,,,,,,
398,4240.54,,,,,,
399,4696.49,,,,,,
400,4991.8,,,,,,
401,9256.17,,,,,,
402,4341.8,,,,,,
403,8208.72,,,,,,
404,9411.1,,,,,,
405,6559.63,,,,,,
406,4492.94,,,,,,
407,8281.34,,,,,,
408,9333.18,,,,,,
409,9426.41,,,,,,
410,8335.76,,,,,,
411,9432.06,,,,,,
412,7684.27,,,,,,
413,9485.98,,,,,,
414,6033.76,,,,,,
415,6580.87,,,,,,
416,9413.91,,,,,,
417,9962.82,,,,,,
418,9610.28,,,,,,
419,7923.99,,,,,,
420,7392.47,,,,,,
421,9268.35,,,,,,
422,5782.22,,,,,,
423,9574.27,,,,,,
424,9494.3,,,,,,
425,4547.99,,,,,,
426,4695.32,,,,,,
427,7373.16,,,,,,
428,5800.19,,,,,,
429,8457.29,,,,,,
430,9564.47,,,,,,
431,6072.23,,,,,,
432,9584.17,,,,,,
433,9317.76,,,,,,
434,4622.75,,,,,,
435,6705.41,,,,,,
436,9394.61,,,,,,
437,4657.86,,,,,,
438,4519.19,,,,,,
439,9236.77,,,,,,
440,4189.38,,,,,,
441,8699.08,,,,,,
442,9367.24,,,,,,
443,8905.07,,,,,,
444,9667.82,,,,,,
445,9050.84,,,,,,
446,9169.82,,,,,,
447,6451.24,,,,,,
448,8265.36,,,,,,
449,7825.42,,,,,,
450,8717.6,,,,,,
451,5089.73,,,,,,
452,8285.95,,,,,,
453,9644.38,,,,,,
454,9473.83,,,,,,
455,4444.33,,,,,,
456,8532.15,,,,,,
457,5659.01,,,,,,
458,9031.9,,,,,,
459,5075.69,,,,,,
460,9158.51,,,,,,
461,9390.37,,,,,,
462,9250.83,,,,,,
463,4620.24,,,,,,
464,4306.21,,,,,,
465,8147.26,,,,,,
466,4195.32,,,,,,
467,8331.72,,,,,,
468,9456.6,,,,,,
469,8467.23,,,,,,
470,9424.66,,,,,,
471,4066.03,,,,,,
472,4787.81,,,,,,
473,6445.39,,,,,,
474,8887.52,,,,,,
475,8304.58,,,,,,
476,7170.59,,,,,,
477,6293.29,,,,,,
478,4485.42,,,,,,
479,9380.65,,,,,,
480,7332.61,,,,,,
481,9143.78,,,,,,
482,8371.9,,,,,,
483,7628.93,,,,,,
484,9791.9,,,,,,
485,7746.44,,,,,,
486,7111.4,,,,,,
487,9562.96,,,,,,
488,8784.09,,,,,,
489,8357.91,,,,,,
490,5264.6,,,,,,
