x,,,,,,
6897.91,,,,,,
8726.67,,,,,,
9292.42,,,,,,
9533.42,,,,,,
6461.47,,,,,,
8917.69,,,,,,
4530.19,,,,,,
5235.21,,,,,,
6354.66,,,,,,
9311.59,,,,,,
6687.45,,,,,,
4516.44,,,,,,
9218.42,,,,,,
8363.15,,,,,,
9345.57,,,,,,
9174.33,,,,,,
9516.88,,,,,,
8508.96,,,,,,
3996.01,,,,,,
4661.46,,,,,,
8918.96,,,,,,
5054.76,,,,,,
8774.85,,,,,,
8594.89,,,,,,
6741.2,,,,,,
8393.52,,,,,,
4452.19,,,,,,
9590.89,,,,,,
6816.08,,,,,,
6191.87,,,,,,
6753.27,,,,,,
9624.94,,,,,,
8134.67,,,,,,
9447.64,,,,,,
8950.93,,,,,,
7220.15,,,,,,
8238.7,,,,,,
5985.25,,,,,,
4177.8,,,,,,
8551.74,,,,,,
4617.93,,,,,,
4118.68,,,,,,
7622.94,,,,,,
6287.51,,,,,,
8688.27,,,,,,
4777.02,,,,,,
8245.84,,,,,,
7429.06,,,,,,
4307.33,,,,,,
4497.19,,,,,,
4388.06,,,,,,
8118.59,,,,,,
9339.84,,,,,,
4961.53,,,,,,
6787.51,,,,,,
6253.69,,,,,,
9566.63,,,,,,
8847.92,,,,,,
8094.12,,,,,,
8582.76,,,,,,
9128.25,,,,,,
4209.61,,,,,,
8324.89,,,,,,
8525.69,,,,,,
9256.04,,,,,,
9265,,,,,,
5931.31,,,,,,
9190.69,,,,,,
4516.23,,,,,,
8241.32,,,,,,
9570.53,,,,,,
4601.43,,,,,,
9184.29,,,,,,
9278.98,,,,,,
7009.78,,,,,,
8488.77,,,,,,
9139.37,,,,,,
9287.17,,,,,,
4524.85,,,,,,
5053.31,,,,,,
9039.36,,,,,,
6882.79,,,,,,
5222.23,,,,,,
5072.65,,,,,,
9231.22,,,,,,
9439.13,,,,,,
8471.1,,,,,,
6276.46,,,,,,
9375.07,,,,,,
9290.45,,,,,,
6681.81,,,,,,
9626.5,,,,,,
9617.07,,,,,,
8260.6,,,,,,
7067.51,,,,,,
9417.22,,,,,,
4512.84,,,,,,
7318.66,,,,,,
9433.55,,,,,,
4954.6,,,,,,
8196.82,,,,,,
9298.48,,,,,,
7054.01,,,,,,
