x,y
260,5014.54
261,375.4
262,1135.04
263,351.42
264,853.06
265,1237.28
266,189.85
267,1217.61
268,178.15
269,1364.26
270,343.49
271,635.02
272,194.64
273,1256.35
274,1533.24
275,787.35
276,211.91
277,267.35
278,551.47
279,952.35
280,1591.55
281,1257.71
282,1393.25
283,707.38
284,426.02
285,322.82
286,37.98
287,219.82
288,989.75
289,1090.57
290,142.02
291,713.2
292,266.8
293,505.4
294,141.19
295,895.89
296,449.61
297,984.53
298,201.55
299,99.53
300,353.12
301,141.91
302,352.66
303,693.5
304,234.9
305,876.68
306,55.14
307,833.53
308,283.6
309,298.31
310,71.49
311,64
312,221.02
313,1210.51
314,252.06
315,243.09
316,177.49
317,173.57
318,56.32
319,769.05
320,1232.75
321,1434.37
322,39.36
323,744.73
324,96.48
325,96.2
326,432.78
327,1381.24
328,1266.82
329,1172.33
330,264.42
331,70.77
332,447.21
333,370.8
334,992.03
335,453.45
336,1166.3
337,449.98
338,1092.98
339,294.39
340,498.83
341,1451.24
342,298.17
343,576.45
344,398.3
345,319.81
346,64.78
347,1337.41
348,425.57
349,969.61
350,571.54
351,437.68
352,710.43
353,641.13
354,355.23
355,204.92
356,353.04
357,129.03
358,573.15
359,247.76
